,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","Temperature","Used Space"
12/27/2019 00:03:19,9.230768,4.615384,10.76923,6.153846,7.69230747,39,36,38,40,40,997.7004,997.7004,997.7004,997.7004,4.586658,0.781313062,0.00503106927,1.04041314,99.7700348,55.2562027,4.370907,3.5393486,37,46.3100166
12/27/2019 00:08:19,10.76923,4.615384,12.3076916,6.153846,8.461541,40,36,38,39,40,1197.2395,1197.2395,1197.2395,1197.2395,4.2252,0.61133486,0.00515085738,1.02849448,99.76996,55.3696747,4.379883,3.53037262,37,46.3102036
12/27/2019 00:13:19,7.69230747,7.69230747,4.615384,10.76923,7.69230747,39,36,38,40,39,798.1598,798.1598,798.1598,798.1598,3.87773347,0.5193098,0.00510599557,1.04534745,99.76997,55.4561462,4.38672256,3.52353287,37,46.3105049
12/27/2019 00:18:19,7.69230747,0,6.153846,6.153846,5.000001,39,36,38,39,39,798.160034,798.160034,798.160034,798.160034,4.368364,0.7069451,0.005652194,1.05106747,99.7700043,56.36682,4.45875931,3.45149612,37,46.3108635
12/27/2019 00:23:19,12.3076916,10.76923,7.69230747,12.3076916,10.76923,39,35,39,39,38,798.160156,798.160156,1197.24023,1197.24023,4.432899,0.786483049,0.004699378,1.04235816,99.77002,55.5964737,4.39782333,3.512432,37,46.3111572
12/27/2019 00:28:19,6.153846,6.153846,1.53846145,9.230768,5.769229,38,36,38,38,39,1197.23987,1197.23987,1197.23987,1197.23987,4.537349,0.824047863,0.005838335,1.05517375,99.77,55.6244469,4.400036,3.51021957,37,46.3115
12/27/2019 00:33:19,13.8461533,7.69230747,13.8461533,10.76923,11.5384579,38,37,39,37,39,798.1605,798.1605,798.1605,798.1605,4.33088732,0.6895731,0.004843783,1.03481376,99.7700653,55.6878624,4.405052,3.50520325,37,46.3110733
12/27/2019 00:38:20,38.4615364,24.6153831,52.30769,43.07692,39.61538,41,39,42,42,42,3292.40918,3292.40918,3292.40918,3292.40918,21.585146,13.5919809,0.009851568,1.49179173,99.76997,55.7434654,4.40945053,3.500805,37,46.3117256
12/27/2019 00:43:20,10.76923,9.230768,4.615384,6.153846,7.69230747,39,36,38,38,39,1197.24023,1197.24023,1197.24023,1197.24023,4.28843927,0.6813594,0.005910181,1.02873337,99.77002,55.7011261,4.406101,3.50415421,37,46.31221
